iter	Passed	Remaining
0	2	1425
1	5	1370
2	8	1376
3	10	1362
4	13	1373
5	16	1375
6	19	1351
7	21	1335
8	24	1336
9	26	1321
10	29	1304
11	31	1293
12	34	1291
13	36	1280
14	39	1266
15	41	1256
16	43	1243
17	46	1244
18	49	1241
19	51	1229
20	53	1225
21	56	1221
22	58	1212
23	60	1201
24	62	1192
25	65	1189
26	67	1188
27	70	1185
28	72	1180
29	75	1177
30	77	1171
31	79	1166
32	82	1163
33	84	1164
34	87	1160
35	89	1159
36	92	1153
37	94	1151
38	97	1146
39	99	1141
40	101	1138
41	104	1142
42	107	1142
43	109	1138
44	112	1133
45	114	1127
46	116	1123
47	118	1120
48	121	1117
49	123	1115
50	126	1114
51	129	1111
52	131	1107
53	133	1104
54	136	1103
55	138	1100
56	141	1095
57	143	1091
58	145	1088
59	148	1085
60	150	1080
61	152	1077
62	154	1074
63	157	1072
64	159	1068
65	161	1064
66	164	1060
67	166	1059
68	169	1056
69	171	1054
70	174	1051
71	176	1048
72	178	1045
73	180	1041
74	183	1039
75	186	1038
76	188	1037
77	191	1035
78	193	1032
79	196	1031
80	199	1029
81	201	1028
82	204	1025
83	206	1022
84	208	1018
85	210	1015
86	213	1011
87	215	1010
88	218	1010
89	221	1008
90	223	1006
91	226	1005
92	229	1004
93	232	1002
94	234	999
95	237	997
96	239	994
97	241	992
98	244	989
99	247	988
100	249	985
101	251	982
102	253	978
103	256	976
104	258	973
105	261	970
106	263	968
107	266	965
108	268	962
109	270	958
110	272	955
111	275	953
112	278	952
113	280	950
114	283	948
115	285	945
116	288	942
117	290	940
118	292	938
119	295	935
120	297	933
121	300	930
122	302	926
123	304	924
124	307	923
125	310	921
126	312	918
127	315	915
128	317	913
129	319	910
130	322	908
131	325	906
132	328	905
133	330	903
134	332	900
135	335	896
136	337	894
137	340	892
138	351	913
139	353	909
140	355	906
141	358	904
142	361	902
143	363	899
144	366	897
145	368	894
146	371	892
147	374	889
148	376	887
149	379	885
150	381	882
151	384	879
152	387	878
153	389	875
154	392	873
155	395	871
156	397	869
157	400	866
158	402	863
159	405	861
160	408	859
161	410	857
162	413	854
163	415	852
164	418	850
165	421	848
166	424	846
167	427	844
168	429	841
169	432	838
170	434	836
171	437	834
172	440	832
173	442	829
174	445	828
175	448	825
176	451	823
177	454	821
178	457	819
179	459	817
180	461	814
181	464	811
182	467	808
183	469	807
184	472	804
185	475	802
186	478	800
187	480	797
188	483	795
189	486	793
190	490	792
191	492	790
192	495	788
193	499	787
194	502	785
195	504	782
196	507	780
197	510	778
198	513	776
199	515	773
200	518	771
201	521	769
202	524	766
203	526	764
204	529	762
205	532	759
206	534	757
207	537	754
208	540	752
209	542	749
210	545	747
211	549	746
212	552	744
213	555	742
214	558	740
215	561	738
216	564	736
217	567	734
218	570	732
219	573	729
220	576	727
221	579	725
222	581	722
223	584	720
224	587	717
225	589	715
226	592	712
227	594	709
228	597	707
229	600	704
230	602	701
231	604	698
232	607	696
233	610	694
234	613	691
235	615	688
236	618	686
237	620	683
238	623	680
239	625	677
240	628	675
241	630	672
242	632	669
243	635	666
